# Generated by tools/gen-exobiology.py. Do not edit by hand — rerun the tool.
# Source: spansh.co.uk api/bodies/search, 2026-09-13. Species and
# values from surveyed landmarks whose value is above zero; up to 500 surveyed bodies sampled per
# species for the condition ranges. Game data is Frontier's, used under their media usage rules;
# see NOTICE. Categorical columns keep a value seen on at least 2% of the sampled bodies; numeric
# ranges are the 1st-99th percentile. Atmosphere, planet type and volcanism are normalised — see
# normalise_planet_type, normalise_atmosphere and normalise_volcanism in this file, mirrored in
# ExobiologyCatalogue's private NormalisePlanetType, NormaliseAtmosphere and NormaliseVolcanism,
# which apply the same fold to a live journal Scan.
species	genus	value	bodies_sampled	planet_types	atmospheres	volcanism	gravity_low	gravity_high	temperature_low	temperature_high	pressure_low	pressure_high	regions
Puniceum Anemone	Anemone	1499900	45	icybody	nitrogen;none;oxygen	carbondioxidegeysers;none	0.1817	2.5946	70.1	862.9	0.000000	0.011321	Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Newton's Vault;Orion-Cygnus Arm;Outer Arm;Outer Orion-Perseus Conflux;Perseus Arm;Temple;The Conduit;Vulcan Gate
Puniceum Brain Tree	Brain Tree	1593700	500	highmetalcontentbody;metalrichbody	none	majormetallicmagma;majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers;rockymagma	0.0569	3.0069	62.6	1592.9	0.000000	0.038025	Inner Scutum-Centaurus Arm;Norma Expanse;Outer Orion Spur
Recepta Conditivus	Recepta	14313700	500	icybody;rockybody;rockyicebody	carbondioxide;sulfurdioxide	none	0.0680	0.2740	132.8	260.5	0.000997	0.095373	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Recepta Deltahedronix	Recepta	16202800	500	highmetalcontentbody;icybody;rockybody;rockyicebody	carbondioxide;sulfurdioxide	majorwatergeysers;none	0.0450	0.2737	132.2	234.9	0.000992	0.094011	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Recepta Umbrux	Recepta	12934900	500	highmetalcontentbody;icybody;rockybody;rockyicebody	carbondioxide;sulfurdioxide	majorwatergeysers;none	0.0485	0.2744	132.2	259.6	0.000997	0.094847	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Roseum Anemone	Anemone	1499900	317	rockybody	none	majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers	0.0463	0.3943	215.3	438.4	0.000000	0.015246	Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Newton's Vault;Orion-Cygnus Arm;Outer Arm;Outer Orion-Perseus Conflux;Perseus Arm;Sanguineous Rim;Temple;The Conduit;Vulcan Gate
Roseum Bioluminescent Anemone	Anemone	1499900	500	highmetalcontentbody;metalrichbody	none	majormetallicmagma;majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers;rockymagma	0.0667	4.0904	446.2	2942.6	0.000000	0.000000	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Roseum Brain Tree	Brain Tree	1593700	500	highmetalcontentbody;icybody;rockybody	carbondioxide;none	majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers	0.0440	1.8796	201.0	496.8	0.000000	0.006616	Empyrean Straits;Inner Orion Spur;Inner Scutum-Centaurus Arm;Norma Expanse;Outer Orion Spur;Temple
Roseum Sinuous Tubers	Tubers	1514500	500	highmetalcontentbody;rockybody	carbondioxide;none	majorrockymagma;majorsilicatevapourgeysers;minorrockymagma;none;rockymagma	0.0457	2.4881	203.0	497.9	0.000000	0.021421	Arcadian Stream;Empyrean Straits;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Norma Arm;Norma Expanse;Odin's Hold;Ryker's Hope;Trojan Belt
Rubeum Bioluminescent Anemone	Anemone	1499900	500	highmetalcontentbody;metalrichbody	none	majormetallicmagma;majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers;rockymagma;silicatevapourgeysers	0.0431	3.4546	232.0	1781.2	0.000000	0.006461	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Stratum Araneamus	Stratum	2448900	500	rockybody	sulfurdioxide	none	0.2964	0.5063	167.2	365.9	0.001022	0.079907	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;Trojan Belt;Vulcan Gate;Xibalba
Stratum Cucumisis	Stratum	16202800	500	rockybody	carbondioxide;sulfurdioxide	metallicmagma;none	0.1884	0.5242	191.2	366.0	0.001028	0.095944	Acheron;Dryman's Point;Elysian Shore;Empyrean Straits;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Mare Somnia;Odin's Hold;Outer Orion Spur;Sagittarius-Carina Arm;Sanguineous Rim;The Abyss
Stratum Excutitus	Stratum	2448900	500	rockybody	carbondioxide;sulfurdioxide	none	0.0550	0.3911	165.2	189.4	0.001330	0.092516	Elysian Shore;Empyrean Straits;Galactic Centre;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sanguineous Rim;Temple;Vulcan Gate
Stratum Frigus	Stratum	2637500	500	rockybody	carbondioxide;sulfurdioxide	none	0.1871	0.5175	191.3	352.4	0.001209	0.094944	Achilles's Altar;Elysian Shore;Errant Marches;Inner Orion-Perseus Conflux;Izanami;Kepler's Crest;Lyra's Song;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sanguineous Rim;Tenebrae;The Formidine Rift;Vulcan Gate
Stratum Laminamus	Stratum	2788300	500	rockybody	ammonia	none	0.0469	0.3150	165.1	175.4	0.001005	0.010084	Elysian Shore;Galactic Centre;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sanguineous Rim;Temple;Vulcan Gate
Stratum Limaxus	Stratum	1362000	500	rockybody	carbondioxide;sulfurdioxide	none	0.0532	0.3703	165.3	189.5	0.001701	0.091269	Aquila's Halo;Arcadian Stream;Formorian Frontier;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Scutum-Centaurus Arm;Norma Expanse;Orion-Cygnus Arm;Outer Scutum-Centaurus Arm;Temple;The Abyss;The Veils;The Void;Trojan Belt
Stratum Paleas	Stratum	1362000	500	rockybody	ammonia;carbondioxide;water	none	0.0465	0.4952	165.2	432.3	0.001037	0.095237	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Conduit;The Formidine Rift;The Void;Trojan Belt;Vulcan Gate
Stratum Tectonicas	Stratum	19010800	500	highmetalcontentbody	ammonia;carbondioxide;sulfurdioxide	none	0.0979	0.5626	165.4	376.5	0.001056	0.092679	Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Lyra's Song;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Conduit;The Formidine Rift;The Void;Vulcan Gate
Tubus Cavas	Tubus	11873200	500	rockybody	carbondioxide	none	0.0460	0.1463	160.1	189.0	0.004006	0.089261	Aquila's Halo;Empyrean Straits;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Norma Expanse;Odin's Hold;Outer Arm;Outer Scutum-Centaurus Arm;The Conduit;The Veils;The Void;Trojan Belt
Tubus Compagibus	Tubus	7774700	500	rockybody	carbondioxide	none	0.0465	0.1429	160.1	184.5	0.004354	0.090863	Acheron;Dryman's Point;Elysian Shore;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Mare Somnia;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;Trojan Belt
Tubus Conifer	Tubus	2415500	500	rockybody	carbondioxide	none	0.0477	0.1436	160.3	185.2	0.004191	0.071043	Achilles's Altar;Elysian Shore;Empyrean Straits;Errant Marches;Galactic Centre;Inner Orion-Perseus Conflux;Izanami;Lyra's Song;Odin's Hold;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sanguineous Rim;Tenebrae;The Formidine Rift;Vulcan Gate
Tubus Rosarium	Tubus	2637500	500	rockybody	ammonia	none	0.0427	0.1495	160.1	176.0	0.000993	0.011231	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Tubus Sororibus	Tubus	5727600	500	highmetalcontentbody	ammonia;carbondioxide	none	0.0513	0.1488	160.2	178.1	0.003355	0.029424	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Scutum-Centaurus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Tussock Albata	Tussock	3252500	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0653	0.2495	175.1	180.0	0.017138	0.091608	Acheron;Achilles's Altar;Dryman's Point;Elysian Shore;Errant Marches;Formorian Frontier;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Formidine Rift;Vulcan Gate
Tussock Capillum	Tussock	7025800	500	rockybody;rockyicebody	argon;methane	majorsilicatevapourgeysers;none	0.0432	0.2746	80.1	119.3	0.001061	0.086672	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Tussock Caputus	Tussock	3472400	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0510	0.2612	181.1	189.8	0.030401	0.097518	Acheron;Achilles's Altar;Dryman's Point;Elysian Shore;Errant Marches;Formorian Frontier;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Formidine Rift;Vulcan Gate
Tussock Catena	Tussock	1766600	500	highmetalcontentbody;rockybody	ammonia	none	0.0518	0.2719	153.6	174.5	0.001006	0.006928	Aquila's Halo;Formorian Frontier;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Scutum-Centaurus Arm;Newton's Vault;Norma Expanse;Orion-Cygnus Arm;Outer Scutum-Centaurus Arm;Temple;The Veils;The Void;Trojan Belt
Tussock Cultro	Tussock	1766600	500	highmetalcontentbody;rockybody	ammonia	none	0.0508	0.2674	153.6	174.6	0.001003	0.005734	Elysian Shore;Galactic Centre;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sanguineous Rim;Temple;Vulcan Gate
Tussock Divisa	Tussock	1766600	500	highmetalcontentbody;rockybody	ammonia	none	0.0495	0.2702	152.9	174.5	0.000998	0.007854	Achilles's Altar;Elysian Shore;Errant Marches;Izanami;Kepler's Crest;Lyra's Song;Odin's Hold;Outer Arm;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sanguineous Rim;Tenebrae;The Formidine Rift;Vulcan Gate
Tussock Ignis	Tussock	1849000	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0479	0.1718	161.1	169.9	0.004235	0.041800	Acheron;Achilles's Altar;Dryman's Point;Elysian Shore;Errant Marches;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Formidine Rift;Trojan Belt;Vulcan Gate
Tussock Pennata	Tussock	5853800	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0428	0.0768	147.2	153.9	0.003323	0.010072	Acheron;Achilles's Altar;Dryman's Point;Elysian Shore;Formorian Frontier;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Formidine Rift;Vulcan Gate
Tussock Pennatis	Tussock	1000000	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0471	0.2624	150.0	194.1	0.004180	0.095144	Aquila's Halo;Arcadian Stream;Empyrean Straits;Errant Marches;Galactic Centre;Hieronymus Delta;Inner Scutum-Centaurus Arm;Kepler's Crest;Newton's Vault;Norma Arm;Outer Arm;Outer Scutum-Centaurus Arm;The Conduit;The Formidine Rift;Xibalba
Tussock Propagito	Tussock	1000000	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0454	0.2538	151.2	193.0	0.003818	0.096171	Aquila's Halo;Arcadian Stream;Empyrean Straits;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Scutum-Centaurus Arm;Temple;The Conduit;The Veils;The Void;Trojan Belt
Tussock Serrati	Tussock	4447100	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0804	0.2103	171.0	174.0	0.011893	0.065078	Acheron;Achilles's Altar;Dryman's Point;Elysian Shore;Errant Marches;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Lyra's Song;Mare Somnia;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Formidine Rift;Vulcan Gate
Tussock Stigmasis	Tussock	19010800	500	highmetalcontentbody;rockybody	sulfurdioxide	none	0.0464	0.2745	132.1	160.1	0.000990	0.004403	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Tussock Triticum	Tussock	7774700	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0479	0.2653	191.0	195.3	0.060711	0.098190	Acheron;Achilles's Altar;Dryman's Point;Elysian Shore;Errant Marches;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Veils;Vulcan Gate
Tussock Ventusa	Tussock	3227700	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0442	0.1059	155.1	159.9	0.003671	0.020200	Acheron;Achilles's Altar;Dryman's Point;Elysian Shore;Errant Marches;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Lyra's Song;Mare Somnia;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Formidine Rift;Vulcan Gate
Tussock Virgam	Tussock	14313700	500	highmetalcontentbody;rockybody	water	none	0.0441	0.0621	402.2	447.7	0.061316	0.098351	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Violaceum Sinuous Tubers	Tubers	1514500	77	highmetalcontentbody;rockybody	none	majorrockymagma;majorsilicatevapourgeysers;metallicmagma;none;rockymagma	0.0479	2.2609	204.0	494.1	0.000000	0.001963	Arcadian Stream;Empyrean Straits;Hawking's Gap;Inner Orion Spur;Inner Scutum-Centaurus Arm;Izanami;Norma Arm;Norma Expanse;Odin's Hold;Ryker's Hope
Viride Brain Tree	Brain Tree	1593700	332	rockyicebody	none	majorrockymagma;majorsilicatevapourgeysers;majorwatergeysers;majorwatermagma;metallicmagma;minorcarbondioxidegeysers;minormetallicmagma;minorsilicatevapourgeysers;minorwatergeysers;rockymagma;watergeysers	0.0375	0.2671	101.0	212.4	0.000000	0.000047	Empyrean Straits;Inner Orion Spur;Inner Scutum-Centaurus Arm;Norma Expanse;Outer Orion Spur;Temple
Viride Sinuous Tubers	Tubers	1514500	115	highmetalcontentbody;rockybody	none	majorrockymagma;majorsilicatevapourgeysers;metallicmagma	0.0439	2.5619	202.1	490.8	0.000000	0.001812	Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Norma Expanse;Ryker's Hope
